id_cloud,algorithm,Npini,iter_max,D,F,CR,w,wdamp,c1,c2,Smin,Smax,exponent,sigma_initial,sigma_final,time,it,stop_condition,poserror_dist,poserror_avg,poserror_1,poserror_2,poserror_3,orierror_1,orierror_2,orierror_3
9,1,100,500,6,0.9,0.75,,,,,,,,,,175.446872234344,50,,0.242700475878516,0.114410101527267,0.1716151522909,0.1716151522909,0,1.17628217764557,1.0537059612569,0.14152341287748
9,1,100,500,6,0.9,0.75,,,,,,,,,,194.999163150787,50,,0.0301808679607601,0.0142273975980995,0.0213410963971492,0.0213410963971492,0,2.57723676199442,0.383231541769387,0.725357680576635
9,1,100,500,6,0.9,0.75,,,,,,,,,,208.182643175125,50,,0.0366175592910686,0.0172616829901434,0.0258925244852151,0.0258925244852151,0,2.13483455483778,0.929779051256246,0.5262861020403
9,1,100,500,6,0.9,0.75,,,,,,,,,,193.142450809479,50,,0.0352387823850259,0.0166117213234726,0.0249175819852089,0.0249175819852089,0,2.24291305558812,0.593061046283928,0.731548984633307
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.638706684113,50,,0.0311846270097584,0.0147005741515822,0.0220508612273733,0.0220508612273733,0,2.13127992851106,0.942867746895866,0.374418986518158
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.353445529938,50,,0.0153056834504667,0.00721516837234647,0.0108227525585197,0.0108227525585197,0,2.55016037069179,0.745590930628864,0.123434309672591
9,1,100,500,6,0.9,0.75,,,,,,,,,,179.708655834198,50,,0.225859631777771,0.106471251484239,0.159706877226359,0.159706877226359,0,2.09738498974251,0.591903584324435,0.716001006870642
9,1,100,500,6,0.9,0.75,,,,,,,,,,203.634631872177,50,,0.0218738488370771,0.0103114312288978,0.0154671468433467,0.0154671468433467,0,2.64009032198188,0.911489535146903,0.536191461847163
9,1,100,500,6,0.9,0.75,,,,,,,,,,210.989691495895,50,,0.233366113428471,0.110009840869614,0.165014761304421,0.165014761304421,0,2.1208921853768,0.0694825803156062,0.475772033996893
9,1,100,500,6,0.9,0.75,,,,,,,,,,171.151881694794,50,,0.24769093235446,0.116762625270838,0.175143937906257,0.175143937906257,0,2.67191645876855,1.45038157364569,0.332747685996272
9,1,100,500,6,0.9,0.75,,,,,,,,,,194.882568836212,50,,0.0291315493176731,0.013732744045998,0.020599116068997,0.020599116068997,0,1.7362323709769,0.0251802055186849,0.557392693820361
9,1,100,500,6,0.9,0.75,,,,,,,,,,202.956408977509,50,,0.0274067245309267,0.0129196538439533,0.0193794807659299,0.0193794807659299,0,2.22150802651552,0.735573346480932,0.0259050582028103
9,1,100,500,6,0.9,0.75,,,,,,,,,,210.689645767212,50,,0.0187787382593103,0.00885238211019037,0.0132785731652856,0.0132785731652856,0,1.92793232825317,0.584587190512806,0.840599349494711
9,1,100,500,6,0.9,0.75,,,,,,,,,,204.943732023239,50,,0.0421212291215896,0.0198561378291922,0.0297842067437883,0.0297842067437883,0,2.56022619017959,0.822673888115122,0.419077115167848
9,1,100,500,6,0.9,0.75,,,,,,,,,,204.12410736084,50,,0.0449760918751371,0.0212019330374524,0.0318028995561786,0.0318028995561786,0,2.30642373462826,0.984961304038511,0.08977248556673
1,1,100,500,6,0.9,0.75,,,,,,,,,,109.67275929451,50,,0,0,0,0,0,0,0,0
2,1,100,500,6,0.9,0.75,,,,,,,,,,120.887436628342,50,,0.0638048827782271,0.0300779101901981,0.0451168652852972,0.0451168652852972,0,1.12129431432474,0,0
3,1,100,500,6,0.9,0.75,,,,,,,,,,91.2946622371674,50,,3.66893678863808,1.72955338866052,2.59433008299078,2.59433008299078,0,3.40254887766142,0.845477722744765,0.692028075303717
4,1,100,500,6,0.9,0.75,,,,,,,,,,197.191644906998,50,,0.00877372491774677,0.00413597359040275,0.00620396038560413,0.00620396038560413,0,3.03752761314624,1.70519259944367,0.62339054435428
5,1,100,500,6,0.9,0.75,,,,,,,,,,115.108218669891,50,,0.366173690007164,0.172615932864111,0.258923899296166,0.258923899296166,0,0.214353319578294,3.46721252124328,0.334189570744564
6,1,100,500,6,0.9,0.75,,,,,,,,,,120.37025642395,50,,1.24409750129821,0.586473186416803,0.879709779625205,0.879709779625205,0,1.01031608089145,2.90896765100992,1.18391718226
7,1,100,500,6,0.9,0.75,,,,,,,,,,212.122585058212,50,,0.021449996979037,0.010111625546872,0.015167438320308,0.015167438320308,0,0.219138526126831,0.736495388357465,0.134076603020498
8,1,100,500,6,0.9,0.75,,,,,,,,,,199.067344665527,50,,0.0846835557137923,0.0399202110001409,0.0598803165002114,0.0598803165002114,0,0.714904361102253,0.872109731138399,0.319819709072685
9,1,100,500,6,0.9,0.75,,,,,,,,,,174.165736198425,50,,0.19477192653242,0.0918163666905617,0.137724550035843,0.137724550035843,0,2.89584810189888,0.681663772386468,0.438164812910232
10,1,100,500,6,0.9,0.75,,,,,,,,,,175.697405815125,50,,0.0430133458658576,0.0202766856955135,0.0304150285432702,0.0304150285432702,0,4.26625683514889,0.579232966745413,0.585526779624422
11,1,100,500,6,0.9,0.75,,,,,,,,,,213.179969787598,50,,0.0615485587800232,0.0290142688570755,0.0435214032856133,0.0435214032856133,0,0.776951723356383,0.769413239958364,0.419522073513602
12,1,100,500,6,0.9,0.75,,,,,,,,,,221.185971736908,50,,0.0338445448422325,0.0159544714427432,0.0239317071641148,0.0239317071641148,0,0.160645791626051,0.161563347754562,0.439897675274975
