id_cloud,algorithm,NPini,iter_max,D,F,CR,w,wdamp,c1,c2,Smin,Smax,exponent,sigma_initial,sigma_final,time,it,stop_condition,poserror_dist,poserror_avg,poserror_1,poserror_2,poserror_3,orierror_1,orierror_2,orierror_3
4,1,100,500,6,0.9,0.75,,,,,,,,,,215.97149515152,50,normal convergence,0.0479045082492746,0.0247938183626161,-0.0414075752338814,-0.0207657392646101,-0.0122081405893569,0.483191899169425,1.27309383070773,5.82401309139064
1,1,100,500,6,0.9,0.75,,,,,,,,,,163.945752859116,50,normal convergence,2.31832330847439,1.0597753204494,1.11263516133677,2.03361049710418,-0.0330803029072633,1.85363754792344,1.70742359896178,80.5651708714512
2,1,100,500,6,0.9,0.75,,,,,,,,,,168.596757411957,50,normal convergence,7.85363537175256,2.86391510642089,-7.81605942060355,0.767289506401965,0.00839639225715786,3.74413307555718,2.9388989096417,9.89445678478109
3,1,100,500,6,0.9,0.75,,,,,,,,,,181.824553728104,50,normal convergence,0.736037415354959,0.33785844745826,-0.386764805009661,-0.626229770226374,-0.000580767138744021,6.09329470938486,0.159553749765976,6.57091143814625
4,1,100,500,6,0.9,0.75,,,,,,,,,,198.410089492798,50,normal convergence,0.0745843652932214,0.0386421049744055,-0.0472929251989995,-0.0122833601190833,-0.0563500296051337,1.7235344551641,0.309984688276779,5.72097954357682
1,1,100,500,6,0.9,0.75,,,,,,,,,,179.304065942764,50,normal convergence,4.32601504857315,1.60092741130433,4.29735974455028,0.497026082568191,0.0083964067945191,5.24573118237226,0.437129126432216,179.510173242988
2,1,100,500,6,0.9,0.75,,,,,,,,,,175.810469150543,50,normal convergence,7.8579475624169,2.86886928055365,-7.819237066709,0.778974382694791,0.00839639225715786,5.46952634020421,1.50433401993584,10.3740954641294
3,1,100,500,6,0.9,0.75,,,,,,,,,,133.793003559113,50,normal convergence,9.56604385169106,3.90524889891808,-9.2432251901896,-2.46412510973796,0.00839639682667479,3.74700318817632,6.04426406505143,107.071597999808
4,1,100,500,6,0.9,0.75,,,,,,,,,,139.060953140259,50,normal convergence,5.94494632850176,2.69125068356391,-2.85130567376978,-5.21655135623392,-0.0058950206880252,3.08664599098262,5.65023561994082,179.40593287859
1,1,100,500,6,0.9,0.75,,,,,,,,,,152.975245714188,50,normal convergence,3.39771960054342,1.48779641099976,-3.12775955338469,1.32723327282007,0.0083964067945191,0.861295096633383,4.86210122115779,170.724903834907
